model,log_loss,brier,auc,split
constant,0.5407205700536147,0.17774549501187234,,validation
constant,0.5529401815161987,0.18320704957536554,,test
lookup,0.5234862747841326,0.1717568407644002,0.6255072346248454,validation
lookup,0.5354422963276395,0.17697114663603708,0.625459845820793,test
lookup+zone,0.48524118271921557,0.15629329846061393,0.7089222900130332,validation
lookup+zone,0.49466122074331664,0.16030575202011216,0.7129210158413002,test
