player_en,player_ko,season,team,g,gs,ip,bf,h,hr,bb,ibb,so,hbp,er,source,verified_on
Bennett Lively,벤 라이블리,2019,삼성,,,,,,,,,,,,,
Bennett Lively,벤 라이블리,2020,삼성,,,,,,,,,,,,,
Bennett Lively,벤 라이블리,2021,삼성,,,,,,,,,,,,,
Dan Straily,댄 스트레일리,2020,롯데,,,,,,,,,,,,,
Dan Straily,댄 스트레일리,2021,롯데,,,,,,,,,,,,,
Dan Straily,댄 스트레일리,2022,롯데,,,,,,,,,,,,,
Dan Straily,댄 스트레일리,2023,롯데,,,,,,,,,,,,,
Eric Jokisch,에릭 요키시,2019,키움,,,,,,,,,,,,,
Eric Jokisch,에릭 요키시,2020,키움,,,,,,,,,,,,,
Eric Jokisch,에릭 요키시,2021,키움,,,,,,,,,,,,,
Eric Jokisch,에릭 요키시,2022,키움,,,,,,,,,,,,,
Eric Jokisch,에릭 요키시,2023,키움,,,,,,,,,,,,,
Eric Jokisch,에릭 요키시,2024,NC,,,,,,,,,,,,,
Esmil Rogers,에스밀 로저스,2015,한화,,,,,,,,,,,,,
Esmil Rogers,에스밀 로저스,2016,한화,,,,,,,,,,,,,
Esmil Rogers,에스밀 로저스,2018,넥센,,,,,,,,,,,,,
Félix Peña,펠릭스 페냐,2022,한화,,,,,,,,,,,,,
Félix Peña,펠릭스 페냐,2023,한화,,,,,,,,,,,,,
Félix Peña,펠릭스 페냐,2024,한화,,,,,,,,,,,,,
Jake Brigham,제이크 브리검,2017,넥센,,,,,,,,,,,,,
Jake Brigham,제이크 브리검,2018,넥센,,,,,,,,,,,,,
Jake Brigham,제이크 브리검,2019,키움,,,,,,,,,,,,,
Jake Brigham,제이크 브리검,2020,키움,,,,,,,,,,,,,
Jake Brigham,제이크 브리검,2021,키움,,,,,,,,,,,,,
Nicholas Kingham,닉 킹엄,2020,SK,,,,,,,,,,,,,
Nicholas Kingham,닉 킹엄,2021,한화,,,,,,,,,,,,,
Nicholas Kingham,닉 킹엄,2022,한화,,,,,,,,,,,,,
Odrisamer Despaigne,오드리사머 데스파이네,2020,KT,,,,,,,,,,,,,
Odrisamer Despaigne,오드리사머 데스파이네,2021,KT,,,,,,,,,,,,,
Odrisamer Despaigne,오드리사머 데스파이네,2022,KT,,,,,,,,,,,,,
Raúl Alcántara,라울 알칸타라,2019,KT,,,,,,,,,,,,,
Raúl Alcántara,라울 알칸타라,2020,두산,,,,,,,,,,,,,
Raúl Alcántara,라울 알칸타라,2023,두산,,,,,,,,,,,,,
Raúl Alcántara,라울 알칸타라,2024,두산,,,,,,,,,,,,,
Tyler Wilson,타일러 윌슨,2018,LG,,,,,,,,,,,,,
Tyler Wilson,타일러 윌슨,2019,LG,,,,,,,,,,,,,
Tyler Wilson,타일러 윌슨,2020,LG,,,,,,,,,,,,,
Wes Benjamin,웨스 벤자민,2022,KT,,,,,,,,,,,,,
Wes Benjamin,웨스 벤자민,2023,KT,,,,,,,,,,,,,
Wes Benjamin,웨스 벤자민,2024,KT,,,,,,,,,,,,,
William Cuevas,윌리엄 쿠에바스,2019,KT,,,,,,,,,,,,,
William Cuevas,윌리엄 쿠에바스,2020,KT,,,,,,,,,,,,,
William Cuevas,윌리엄 쿠에바스,2021,KT,,,,,,,,,,,,,
William Cuevas,윌리엄 쿠에바스,2022,KT,,,,,,,,,,,,,
William Cuevas,윌리엄 쿠에바스,2023,KT,,,,,,,,,,,,,
William Cuevas,윌리엄 쿠에바스,2024,KT,,,,,,,,,,,,,
